Key,Serial,Date_Time,Temperature_C,Light_Lux,Date,Year,Month,Day,Hour,Minute,AMPM,Time.Decimal
1,20685432,11/22/22 12:00,9.077,2755.6,11/22/22,2022,11,22,12,0,PM,24
2,20685432,11/22/22 12:30,8.978,2238.9,11/22/22,2022,11,22,12,30,PM,24.5
3,20685432,11/22/22 13:00,9.373,1722.2,11/22/22,2022,11,22,1,0,PM,13
4,20685432,11/22/22 13:30,9.866,1550,11/22/22,2022,11,22,1,30,PM,13.5
5,20685432,11/22/22 14:00,10.161,1216.3,11/22/22,2022,11,22,2,0,PM,14
6,20685432,11/22/22 14:30,10.259,850.4,11/22/22,2022,11,22,2,30,PM,14.5
7,20685432,11/22/22 15:00,10.161,538.2,11/22/22,2022,11,22,3,0,PM,15
8,20685432,11/22/22 15:30,9.965,355.2,11/22/22,2022,11,22,3,30,PM,15.5
9,20685432,11/22/22 16:00,9.768,204.5,11/22/22,2022,11,22,4,0,PM,16
10,20685432,11/22/22 16:30,9.472,86.1,11/22/22,2022,11,22,4,30,PM,16.5
11,20685432,11/22/22 17:00,8.481,0,11/22/22,2022,11,22,5,0,PM,17
12,20685432,11/22/22 17:30,7.28,0,11/22/22,2022,11,22,5,30,PM,17.5
13,20685432,11/22/22 18:00,6.471,0,11/22/22,2022,11,22,6,0,PM,18
14,20685432,11/22/22 18:30,6.064,0,11/22/22,2022,11,22,6,30,PM,18.5
15,20685432,11/22/22 19:00,5.45,0,11/22/22,2022,11,22,7,0,PM,19
16,20685432,11/22/22 19:30,4.727,0,11/22/22,2022,11,22,7,30,PM,19.5
17,20685432,11/22/22 20:00,4.519,0,11/22/22,2022,11,22,8,0,PM,20
18,20685432,11/22/22 20:30,3.893,0,11/22/22,2022,11,22,8,30,PM,20.5
19,20685432,11/22/22 21:00,3.155,0,11/22/22,2022,11,22,9,0,PM,21
20,20685432,11/22/22 21:30,3.683,0,11/22/22,2022,11,22,9,30,PM,21.5
21,20685432,11/22/22 22:00,3.683,0,11/22/22,2022,11,22,10,0,PM,22
22,20685432,11/22/22 22:30,4.623,0,11/22/22,2022,11,22,10,30,PM,22.5
23,20685432,11/22/22 23:00,3.998,0,11/22/22,2022,11,22,11,0,PM,23
24,20685432,11/22/22 23:30,2.837,0,11/22/22,2022,11,22,11,30,PM,23.5
25,20685432,11/23/22 0:00,2.517,0,11/23/22,2022,11,23,12,0,AM,12
26,20685432,11/23/22 0:30,2.517,0,11/23/22,2022,11,23,12,30,AM,12.5
27,20685432,11/23/22 1:00,2.73,0,11/23/22,2022,11,23,1,0,AM,1
28,20685432,11/23/22 1:30,3.049,0,11/23/22,2022,11,23,1,30,AM,1.5
29,20685432,11/23/22 2:00,2.943,0,11/23/22,2022,11,23,2,0,AM,2
30,20685432,11/23/22 2:30,2.517,0,11/23/22,2022,11,23,2,30,AM,2.5
31,20685432,11/23/22 3:00,2.41,0,11/23/22,2022,11,23,3,0,AM,3
32,20685432,11/23/22 3:30,2.088,0,11/23/22,2022,11,23,3,30,AM,3.5
33,20685432,11/23/22 4:00,5.552,0,11/23/22,2022,11,23,4,0,AM,4
34,20685432,11/23/22 4:30,5.244,0,11/23/22,2022,11,23,4,30,AM,4.5
35,20685432,11/23/22 5:00,5.037,0,11/23/22,2022,11,23,5,0,AM,5
36,20685432,11/23/22 5:30,4.415,0,11/23/22,2022,11,23,5,30,AM,5.5
37,20685432,11/23/22 6:00,3.788,0,11/23/22,2022,11,23,6,0,AM,6
38,20685432,11/23/22 6:30,3.578,0,11/23/22,2022,11,23,6,30,AM,6.5
39,20685432,11/23/22 7:00,3.261,10.8,11/23/22,2022,11,23,7,0,AM,7
40,20685432,11/23/22 7:30,2.624,139.9,11/23/22,2022,11,23,7,30,AM,7.5
41,20685432,11/23/22 8:00,3.578,667.4,11/23/22,2022,11,23,8,0,AM,8
42,20685432,11/23/22 8:30,5.45,2411.1,11/23/22,2022,11,23,8,30,AM,8.5
43,20685432,11/23/22 9:00,8.68,4650,11/23/22,2022,11,23,9,0,AM,9
44,20685432,11/23/22 9:30,8.779,5166.7,11/23/22,2022,11,23,9,30,AM,9.5
45,20685432,11/23/22 10:00,9.176,3961.1,11/23/22,2022,11,23,10,0,AM,10
46,20685432,11/23/22 10:30,9.669,4305.6,11/23/22,2022,11,23,10,30,AM,10.5
47,20685432,11/23/22 11:00,11.041,5166.7,11/23/22,2022,11,23,11,0,AM,11
48,20685432,11/23/22 11:30,11.139,4133.4,11/23/22,2022,11,23,11,30,AM,11.5
49,20685432,11/23/22 12:00,11.528,2755.6,11/23/22,2022,11,23,12,0,PM,24
50,20685432,11/23/22 12:30,11.625,2238.9,11/23/22,2022,11,23,12,30,PM,24.5
51,20685432,11/23/22 13:00,11.722,1722.2,11/23/22,2022,11,23,1,0,PM,13
52,20685432,11/23/22 13:30,11.819,1463.9,11/23/22,2022,11,23,1,30,PM,13.5
53,20685432,11/23/22 14:00,12.11,1205.6,11/23/22,2022,11,23,2,0,PM,14
54,20685432,11/23/22 14:30,12.207,839.6,11/23/22,2022,11,23,2,30,PM,14.5
55,20685432,11/23/22 15:00,12.11,538.2,11/23/22,2022,11,23,3,0,PM,15
56,20685432,11/23/22 15:30,12.11,355.2,11/23/22,2022,11,23,3,30,PM,15.5
57,20685432,11/23/22 16:00,11.431,204.5,11/23/22,2022,11,23,4,0,PM,16
58,20685432,11/23/22 16:30,10.651,75.3,11/23/22,2022,11,23,4,30,PM,16.5
59,20685432,11/23/22 17:00,9.176,0,11/23/22,2022,11,23,5,0,PM,17
60,20685432,11/23/22 17:30,7.882,0,11/23/22,2022,11,23,5,30,PM,17.5
61,20685432,11/23/22 18:00,7.179,0,11/23/22,2022,11,23,6,0,PM,18
62,20685432,11/23/22 18:30,6.37,0,11/23/22,2022,11,23,6,30,PM,18.5
63,20685432,11/23/22 19:00,5.552,0,11/23/22,2022,11,23,7,0,PM,19
64,20685432,11/23/22 19:30,4.934,0,11/23/22,2022,11,23,7,30,PM,19.5
65,20685432,11/23/22 20:00,4.727,0,11/23/22,2022,11,23,8,0,PM,20
66,20685432,11/23/22 20:30,4.102,0,11/23/22,2022,11,23,8,30,PM,20.5
67,20685432,11/23/22 21:00,3.683,0,11/23/22,2022,11,23,9,0,PM,21
68,20685432,11/23/22 21:30,3.049,0,11/23/22,2022,11,23,9,30,PM,21.5
69,20685432,11/23/22 22:00,2.517,0,11/23/22,2022,11,23,10,0,PM,22
70,20685432,11/23/22 22:30,2.624,0,11/23/22,2022,11,23,10,30,PM,22.5
71,20685432,11/23/22 23:00,2.303,0,11/23/22,2022,11,23,11,0,PM,23
72,20685432,11/23/22 23:30,2.088,0,11/23/22,2022,11,23,11,30,PM,23.5
73,20685432,11/24/22 0:00,1.439,0,11/24/22,2022,11,24,12,0,AM,12
74,20685432,11/24/22 0:30,1.98,0,11/24/22,2022,11,24,12,30,AM,12.5
75,20685432,11/24/22 1:00,1.764,0,11/24/22,2022,11,24,1,0,AM,1
76,20685432,11/24/22 1:30,1.221,0,11/24/22,2022,11,24,1,30,AM,1.5
77,20685432,11/24/22 2:00,1.003,0,11/24/22,2022,11,24,2,0,AM,2
78,20685432,11/24/22 2:30,0.453,0,11/24/22,2022,11,24,2,30,AM,2.5
79,20685432,11/24/22 3:00,0.674,0,11/24/22,2022,11,24,3,0,AM,3
80,20685432,11/24/22 3:30,0.343,0,11/24/22,2022,11,24,3,30,AM,3.5
81,20685432,11/24/22 4:00,0.453,0,11/24/22,2022,11,24,4,0,AM,4
82,20685432,11/24/22 4:30,-0.325,0,11/24/22,2022,11,24,4,30,AM,4.5
83,20685432,11/24/22 5:00,-0.662,0,11/24/22,2022,11,24,5,0,AM,5
84,20685432,11/24/22 5:30,-1.001,0,11/24/22,2022,11,24,5,30,AM,5.5
85,20685432,11/24/22 6:00,-1.114,0,11/24/22,2022,11,24,6,0,AM,6
86,20685432,11/24/22 6:30,-1.341,0,11/24/22,2022,11,24,6,30,AM,6.5
87,20685432,11/24/22 7:00,-1.57,21.5,11/24/22,2022,11,24,7,0,AM,7
88,20685432,11/24/22 7:30,-1.341,215.3,11/24/22,2022,11,24,7,30,AM,7.5
89,20685432,11/24/22 8:00,-1.001,796.5,11/24/22,2022,11,24,8,0,AM,8
90,20685432,11/24/22 8:30,-0.102,2152.8,11/24/22,2022,11,24,8,30,AM,8.5
91,20685432,11/24/22 9:00,3.049,3788.9,11/24/22,2022,11,24,9,0,AM,9
92,20685432,11/24/22 9:30,3.893,5338.9,11/24/22,2022,11,24,9,30,AM,9.5
93,20685432,11/24/22 10:00,4.311,4650,11/24/22,2022,11,24,10,0,AM,10
94,20685432,11/24/22 10:30,5.244,4133.4,11/24/22,2022,11,24,10,30,AM,10.5
95,20685432,11/24/22 11:00,7.079,5338.9,11/24/22,2022,11,24,11,0,AM,11
96,20685432,11/24/22 11:30,7.983,3961.1,11/24/22,2022,11,24,11,30,AM,11.5
97,20685432,11/24/22 12:00,9.176,2755.6,11/24/22,2022,11,24,12,0,PM,24
98,20685432,11/24/22 12:30,11.334,2411.1,11/24/22,2022,11,24,12,30,PM,24.5
99,20685432,11/24/22 13:00,11.139,2583.4,11/24/22,2022,11,24,1,0,PM,13
100,20685432,11/24/22 13:30,11.139,1377.8,11/24/22,2022,11,24,1,30,PM,13.5
101,20685432,11/24/22 14:00,11.819,2927.8,11/24/22,2022,11,24,2,0,PM,14
102,20685432,11/24/22 14:30,12.207,1636.1,11/24/22,2022,11,24,2,30,PM,14.5
103,20685432,11/24/22 15:00,12.304,839.6,11/24/22,2022,11,24,3,0,PM,15
104,20685432,11/24/22 15:30,11.625,430.6,11/24/22,2022,11,24,3,30,PM,15.5
105,20685432,11/24/22 16:00,11.431,215.3,11/24/22,2022,11,24,4,0,PM,16
106,20685432,11/24/22 16:30,10.944,86.1,11/24/22,2022,11,24,4,30,PM,16.5
107,20685432,11/24/22 17:00,10.161,0,11/24/22,2022,11,24,5,0,PM,17
108,20685432,11/24/22 17:30,9.275,0,11/24/22,2022,11,24,5,30,PM,17.5
109,20685432,11/24/22 18:00,9.176,0,11/24/22,2022,11,24,6,0,PM,18
110,20685432,11/24/22 18:30,8.779,0,11/24/22,2022,11,24,6,30,PM,18.5
111,20685432,11/24/22 19:00,9.669,0,11/24/22,2022,11,24,7,0,PM,19
112,20685432,11/24/22 19:30,8.182,0,11/24/22,2022,11,24,7,30,PM,19.5
113,20685432,11/24/22 20:00,7.28,0,11/24/22,2022,11,24,8,0,PM,20
114,20685432,11/24/22 20:30,7.179,0,11/24/22,2022,11,24,8,30,PM,20.5
115,20685432,11/24/22 21:00,7.28,0,11/24/22,2022,11,24,9,0,PM,21
116,20685432,11/24/22 21:30,7.481,0,11/24/22,2022,11,24,9,30,PM,21.5
117,20685432,11/24/22 22:00,7.782,0,11/24/22,2022,11,24,10,0,PM,22
118,20685432,11/24/22 22:30,8.978,0,11/24/22,2022,11,24,10,30,PM,22.5
119,20685432,11/24/22 23:00,9.472,0,11/24/22,2022,11,24,11,0,PM,23
120,20685432,11/24/22 23:30,9.373,0,11/24/22,2022,11,24,11,30,PM,23.5
121,20685432,11/25/22 0:00,9.571,0,11/25/22,2022,11,25,12,0,AM,12
122,20685432,11/25/22 0:30,9.571,0,11/25/22,2022,11,25,12,30,AM,12.5
123,20685432,11/25/22 1:00,9.275,0,11/25/22,2022,11,25,1,0,AM,1
124,20685432,11/25/22 1:30,8.581,0,11/25/22,2022,11,25,1,30,AM,1.5
